type,language,license,rightsHolder,datasetID,institutionCode,datasetName,eventID,parentEventID,eventDate,samplesizeValue,sampleSizeUnit,habitat,samplingProtocol,country,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinateSystem
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT1P1,FORMICA:TRANSECT:BELOT1,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7696403,3.7534763,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT1P2,FORMICA:TRANSECT:BELOT1,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7694986,3.7534383,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT1P3,FORMICA:TRANSECT:BELOT1,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7697925,3.7533841,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT1P4,FORMICA:TRANSECT:BELOT1,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7699057,3.753078,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT1P5,FORMICA:TRANSECT:BELOT1,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7701294,3.752677,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT2P1,FORMICA:TRANSECT:BELOT2,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7696975699382,3.931010102325,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT2P2,FORMICA:TRANSECT:BELOT2,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.769759,3.9309895,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT2P3,FORMICA:TRANSECT:BELOT2,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7697251,3.9310935,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT2P4,FORMICA:TRANSECT:BELOT2,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7699469,3.9312499,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT2P5,FORMICA:TRANSECT:BELOT2,2018-05-22T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.7700436,3.9312841,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT3P1,FORMICA:TRANSECT:BELOT3,2018-05-25T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.9731169,3.8035539,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT3P2,FORMICA:TRANSECT:BELOT3,2018-05-25T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.9731437,3.8034898,EPSG:4326,30,WGS84
Event,en,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/be9pwc,UGent,FORMICA_VEG - Vegetation surveys along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,FORMICA_VEG:PLOT:BELOT3P3,FORMICA:TRANSECT:BELOT3,2018-05-25T00:00:00Z,9,square metre,temperate forest,vegetation survey,Belgium,50.9731862,3.8034802,EPSG:4326,30,WGS84
