Occurrence_id,Period,Region,Forest type,Transect,Plot number,fullplotID,LAT,LON,Date,Observers,Time lamps on,Time lamps of,Forest affinity,Species (Dutch name),Species (English name),Species (French name),Species (Scientific name),Amount,Rarity,Family,"Remarks (Wind, rain, moon, cloudiness)",Minimum Temperature,Maximum Temperature,Average Temperature
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:c33fb61c25e0423103210f8294b7a7ad,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,grijze stipspanner,Riband Wave,Impolie,Idaea aversata,17,fairly common,Geometridae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:c76bdbc7384b20b0e239d31db7113adb,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mo,gewone worteluil,Heart and Dart,Double-Tache,Agrotis exclamationis,53,common,Noctuidae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:088bb9ed315ed97c72019864cbcc2996,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,wl,rozenblaadje,Rosy Footman,Rosette,Miltochrista miniata,5,common,Erebidae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:912b2bf1927ec338045a5f015cf2851e,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,variabele spikkelspanner,Mottled Beauty,Boarmie recourbée,Alcis repandata,9,common,Geometridae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:0476b89178b343ce784f87dfe79d4c22,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,hagedoornvlinder,Brimstone Moth,Citronnelle rouillée,Opisthograptis luteolata,1,common,Geometridae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:62d270315bce936e51467470ee77be0f,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,appeltak,Light Emerald,Céladon,Campaea margaritaria,3,common,Geometridae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:6907edec3d553bb78cf3119222c3685c,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mo,gewone stofuil,The Uncertain,Noctuelle de la morgeline,Hoplodrina octogenaria,13,common,Noctuidae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:54d1f6d5da1d932ca6ad6f549008650f,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,randvlekuil,Brown Rustic,Ferruginée,Charanyca ferruginea,3,fairly common,Noctuidae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:78ea57703c7f9aef447f7dd54c7bebab,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,gerande spanner,Clouded Border,Bordure entrecoupée,Lomaspilis marginata,2,common,Geometridae,"Windy, Cloudy",,,
UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:4f6b81e409a8547eaac81b92b0f054a2,1,B_HIGH,Closed,BeHiT1,1,BeHiT1P1,50.5767564,5.9394485,2020-07-01,"Cyr Mestdagh, Pallieter De Smedt, Els Dhiedt",1899-12-31T20:50:00Z,1899-12-31T04:59:00Z,mm,kleine zomervlinder,Common Emerald,Phalène sillonnée,Hemithea aestivaria,1,common,Geometridae,"Windy, Cloudy",,,
