language,type,license,rightsHolder,datasetID,datasetName,basisOfRecord,collectionCode,occurrenceID,organismQuantity,organismQuantityType,occurrenceStatus,eventID,scientificName,kingdom,taxonRank
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:c33fb61c25e0423103210f8294b7a7ad,17,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Idaea aversata,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:c76bdbc7384b20b0e239d31db7113adb,53,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Agrotis exclamationis,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:088bb9ed315ed97c72019864cbcc2996,5,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Miltochrista miniata,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:912b2bf1927ec338045a5f015cf2851e,9,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Alcis repandata,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:0476b89178b343ce784f87dfe79d4c22,1,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Opisthograptis luteolata,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:62d270315bce936e51467470ee77be0f,3,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Campaea margaritaria,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:6907edec3d553bb78cf3119222c3685c,13,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Hoplodrina octogenaria,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:54d1f6d5da1d932ca6ad6f549008650f,3,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Charanyca ferruginea,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:78ea57703c7f9aef447f7dd54c7bebab,2,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Lomaspilis marginata,Animalia,species
en,Event,http://creativecommons.org/publicdomain/zero/1.0/legalcode,Ghent University,https://doi.org/10.15468/3sckuk,FORMICA_LEPIDOPTERA - Lepidoptera along edge-to-core transects in open and dense forests in the framework of the Forest Microclimate Assessment (FORMICA) project,HumanObservation,FORMICA,UGENT:FORMICA_LEPIDOPTERA:BEHIT1P1:1:4f6b81e409a8547eaac81b92b0f054a2,1,individuals,present,FORMICA_LEPIDOPTERA:PLOT:BEHIT1P1:1,Hemithea aestivaria,Animalia,species
