"","Loc","Type","Spec","Family","Order","lat","lng","date","Sampletime","Det","Stage","Sex","Method"
"1","Bo","crop","?","Vespertilionidae","Chiroptera",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"2","Bo","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"3","Bo","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"4","Bo","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"5","Bo","tree","Pipistrellus pygmaeus","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"6","Bo","tree","?","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"7","Bo","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"8","Bo1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"9","Bo1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"10","Bo2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
