"Loc","Type","Spec","TAG","date","Family","Order","lat","lng","Spec_group","Stage","Sex","Det","Number","Method"
"Bo","crop","Triticum aestivum","Bo_crop",2023-06-12,"Poaceae","Poales",50.799362,4.813764,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat"
"Bo","crtl","Anisantha sterilis","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","crtl","Arrhenatherum elatius","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",75,"10m² quadrat"
"Bo","crtl","Cirsium arvense","Bo_crtl",2023-06-12,"Asteraceae","Asterales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo","crtl","Convolvulus arvensis","Bo_crtl",2023-06-12,"Convolvulaceae","Solanales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo","crtl","Dactylis glomerata","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","crtl","Equisetum arvense","Bo_crtl",2023-06-12,"Equisetaceae","Equisetales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo","crtl","Galium aparine","Bo_crtl",2023-06-12,"Rubiaceae","Gentianales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo","crtl","Lolium perenne","Bo_crtl",2023-06-12,"Poaceae","Poales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","crtl","Rumex crispus","Bo_crtl",2023-06-12,"Polygonaceae","Caryophyllales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo","crtl","Urtica dioica","Bo_crtl",2023-06-12,"Urticaceae","Rosales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo","crtl","Vicia sativa","Bo_crtl",2023-06-12,"Fabaceae","Fabales",50.80072,4.812192,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo","tree","Anisantha sterilis","Bo_tree",2023-06-12,"Poaceae","Poales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","tree","Arrhenatherum elatius","Bo_tree",2023-06-12,"Poaceae","Poales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo","tree","Artemisia vulgaris","Bo_tree",2023-06-12,"Asteraceae","Asterales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
