"Loc","Type","Spec","TAG","date","Family","Order","lat","lng","Spec_group","Stage","Sex","Det","Number","Method"
"Bo","tree","Chaerophyllum temulum","Bo_tree",2023-06-12,"Apiaceae","Apiales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo","tree","Lamium album","Bo_tree",2023-06-12,"Lamiaceae","Lamiales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo","tree","Poa trivialis","Bo_tree",2023-06-12,"Poaceae","Poales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo","tree","Populus x canadensis (P. deltoides x P. nigra)","Bo_tree",2023-06-12,"Salicaceae","Malpighiales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",98,"10m² quadrat"
"Bo","tree","Rubus Sec. Rubus","Bo_tree",2023-06-12,"Rosaceae","Rosales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","tree","Sambucus nigra","Bo_tree",2023-06-12,"Viburnaceae","Dipsacales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo","tree","Triticum aestivum","Bo_tree",2023-06-12,"Poaceae","Poales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo","tree","Urtica dioica","Bo_tree",2023-06-12,"Urticaceae","Rosales",50.798534,4.814494,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"Bo1","crtl","Anisantha sterilis","Bo1_crtl",2023-06-12,"Poaceae","Poales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Bo1","crtl","Betula pubescens","Bo1_crtl",2023-06-12,"Betulaceae","Fagales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Cirsium vulgare","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo1","crtl","Epilobium parviflorum","Bo1_crtl",2023-06-12,"Onagraceae","Myrtales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo1","crtl","Epilobium spec.","Bo1_crtl",2023-06-12,"Onagraceae","Myrtales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","crtl","Erigeron sumatrensis","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","crtl","Jacobaea vulgaris","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","crtl","Lolium multiflorum","Bo1_crtl",2023-06-12,"Poaceae","Poales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo1","crtl","Matricaria chamomilla","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","crtl","Plantago major","Bo1_crtl",2023-06-12,"Plantaginaceae","Lamiales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","crtl","Poa trivialis","Bo1_crtl",2023-06-12,"Poaceae","Poales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Bo1","crtl","Populus alba","Bo1_crtl",2023-06-12,"Salicaceae","Malpighiales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","crtl","Prunus spinosa","Bo1_crtl",2023-06-12,"Rosaceae","Rosales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Salix caprea","Bo1_crtl",2023-06-12,"Salicaceae","Malpighiales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Sambucus nigra","Bo1_crtl",2023-06-12,"Viburnaceae","Dipsacales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Sonchus arvensis","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Symphyotrichum lanceolatum","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo1","crtl","Taraxacum officinale s.l. (incl. all sec.)","Bo1_crtl",2023-06-12,"Asteraceae","Asterales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","crtl","Urtica dioica","Bo1_crtl",2023-06-12,"Urticaceae","Rosales",50.830734,4.813417,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","tree","Anisantha sterilis","Bo1_tree",2023-06-12,"Poaceae","Poales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","tree","Arrhenatherum elatius","Bo1_tree",2023-06-12,"Poaceae","Poales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Bo1","tree","Artemisia vulgaris","Bo1_tree",2023-06-12,"Asteraceae","Asterales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","tree","Bryonia dioica","Bo1_tree",2023-06-12,"Cucurbitaceae","Cucurbitales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo1","tree","Chenopodium album","Bo1_tree",2023-06-12,"Amaranthaceae","Caryophyllales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","tree","Cirsium arvense","Bo1_tree",2023-06-12,"Asteraceae","Asterales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","tree","Cotoneaster spec.","Bo1_tree",2023-06-12,"Rosaceae","Rosales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo1","tree","Dactylis glomerata","Bo1_tree",2023-06-12,"Poaceae","Poales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","tree","Hordeum vulgare","Bo1_tree",2023-06-12,"Poaceae","Poales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo1","tree","Oxybasis rubra","Bo1_tree",2023-06-12,"Amaranthaceae","Caryophyllales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo1","tree","Salix caprea","Bo1_tree",2023-06-12,"Salicaceae","Malpighiales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",75,"10m² quadrat"
"Bo1","tree","Sambucus nigra","Bo1_tree",2023-06-12,"Viburnaceae","Dipsacales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Bo1","tree","Urtica dioica","Bo1_tree",2023-06-12,"Urticaceae","Rosales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo1","tree","Vicia sativa","Bo1_tree",2023-06-12,"Fabaceae","Fabales",50.831448,4.813626,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","crtl","Anisantha sterilis","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo2","crtl","Arrhenatherum elatius","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","crtl","Bromus hordeaceus","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","crtl","Capsella bursa-pastoris","Bo2_crtl",2023-06-12,"Brassicaceae","Brassicales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","crtl","Chenopodium album","Bo2_crtl",2023-06-12,"Amaranthaceae","Caryophyllales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","crtl","Dactylis glomerata","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","crtl","Holcus lanatus","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","crtl","Hordeum murinum","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo2","crtl","Lolium multiflorum","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Bo2","crtl","Matricaria chamomilla","Bo2_crtl",2023-06-12,"Asteraceae","Asterales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","crtl","Plantago major","Bo2_crtl",2023-06-12,"Plantaginaceae","Lamiales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","crtl","Poa annua","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","crtl","Poa trivialis","Bo2_crtl",2023-06-12,"Poaceae","Poales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","crtl","Polygonum aviculare","Bo2_crtl",2023-06-12,"Polygonaceae","Caryophyllales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","crtl","Rorippa sylvestris","Bo2_crtl",2023-06-12,"Brassicaceae","Brassicales",50.804672,5.00229,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Achillea millefolium","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","tree","Anisantha sterilis","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Arrhenatherum elatius","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Bo2","tree","Artemisia vulgaris","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","tree","Avena sativa","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo2","tree","Camelina sativa","Bo2_tree",2023-06-12,"Brassicaceae","Brassicales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Centaurea cyanus (cultivar)","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Centaurea jacea","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Cirsium arvense","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Dactylis glomerata","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Daucus carota","Bo2_tree",2023-06-12,"Apiaceae","Apiales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Bo2","tree","Fallopia convolvulus","Bo2_tree",2023-06-12,"Polygonaceae","Caryophyllales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Galium aparine","Bo2_tree",2023-06-12,"Rubiaceae","Gentianales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Geranium molle","Bo2_tree",2023-06-12,"Geraniaceae","Geraniales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","tree","Holcus lanatus","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Jacobaea vulgaris","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Juglans regia","Bo2_tree",2023-06-12,"Juglandaceae","Fagales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",65,"10m² quadrat"
"Bo2","tree","Lapsana communis","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Leucanthemum vulgare","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Bo2","tree","Papaver rhoeas","Bo2_tree",2023-06-12,"Papaveraceae","Ranunculales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Phacelia tanacetifolia","Bo2_tree",2023-06-12,"Hydrophyllaceae","Boraginales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Bo2","tree","Poa trivialis","Bo2_tree",2023-06-12,"Poaceae","Poales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","tree","Raphanus sativus","Bo2_tree",2023-06-12,"Brassicaceae","Brassicales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","tree","Rumex obtusifolius","Bo2_tree",2023-06-12,"Polygonaceae","Caryophyllales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Sonchus asper","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Sonchus oleraceus","Bo2_tree",2023-06-12,"Asteraceae","Asterales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Stellaria media","Bo2_tree",2023-06-12,"Caryophyllaceae","Caryophyllales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Bo2","tree","Trifolium repens","Bo2_tree",2023-06-12,"Fabaceae","Fabales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Urtica dioica","Bo2_tree",2023-06-12,"Urticaceae","Rosales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Bo2","tree","Veronica hederifolia","Bo2_tree",2023-06-12,"Plantaginaceae","Lamiales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Bo2","tree","Vicia sativa","Bo2_tree",2023-06-12,"Fabaceae","Fabales",50.804695,5.003687,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","crtl","Anisantha sterilis","Ge1_crtl",2023-05-25,"Poaceae","Poales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","crtl","Arrhenatherum elatius","Ge1_crtl",2023-05-25,"Poaceae","Poales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","crtl","Cardamine hirsuta","Ge1_crtl",2023-05-25,"Brassicaceae","Brassicales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ge1","crtl","Cirsium arvense","Ge1_crtl",2023-05-25,"Asteraceae","Asterales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","crtl","Epilobium hirsutum","Ge1_crtl",2023-05-25,"Onagraceae","Myrtales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","crtl","Galium aparine","Ge1_crtl",2023-05-25,"Rubiaceae","Gentianales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ge1","crtl","Rubus Sec. Rubus","Ge1_crtl",2023-05-25,"Rosaceae","Rosales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ge1","crtl","Solanum dulcamara","Ge1_crtl",2023-05-25,"Solanaceae","Solanales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ge1","crtl","Stellaria media","Ge1_crtl",2023-05-25,"Caryophyllaceae","Caryophyllales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ge1","crtl","Urtica dioica","Ge1_crtl",2023-05-25,"Urticaceae","Rosales",51.011478,3.685224,"plants","Ad","","Jari Vandendendriessche",75,"10m² quadrat"
"Ge1","tree","Acorus calamus","Ge1_tree",2023-05-25,"Acoraceae","Acorales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",35,"10m² quadrat"
"Ge1","tree","Arrhenatherum elatius","Ge1_tree",2023-05-25,"Poaceae","Poales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ge1","tree","Equisetum fluviatile","Ge1_tree",2023-05-25,"Equisetaceae","Equisetales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","tree","Galium aparine","Ge1_tree",2023-05-25,"Rubiaceae","Gentianales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","tree","Iris pseudacorus","Ge1_tree",2023-05-25,"Iridaceae","Asparagales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ge1","tree","Phalaris arundinacea","Ge1_tree",2023-05-25,"Poaceae","Poales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",25,"10m² quadrat"
"Ge1","tree","Populus x canadensis (P. deltoides x P. nigra)","Ge1_tree",2023-05-25,"Salicaceae","Malpighiales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat"
"Ge1","tree","Ranunculus repens","Ge1_tree",2023-05-25,"Ranunculaceae","Ranunculales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ge1","tree","Rubus Sec. Rubus","Ge1_tree",2023-05-25,"Rosaceae","Rosales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ge1","tree","Solanum dulcamara","Ge1_tree",2023-05-25,"Solanaceae","Solanales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ge1","tree","Urtica dioica","Ge1_tree",2023-05-25,"Urticaceae","Rosales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ge1","tree","Vicia sativa","Ge1_tree",2023-05-25,"Fabaceae","Fabales",51.01141,3.686242,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crop","Chenopodium album","Ie_crop",2023-05-27,"Amaranthaceae","Caryophyllales",50.898197,2.833149,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crop","Stellaria media","Ie_crop",2023-05-27,"Caryophyllaceae","Caryophyllales",50.898197,2.833149,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crop","Tripleurospermum maritimum","Ie_crop",2023-05-27,"Asteraceae","Asterales",50.898197,2.833149,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crop","Triticum aestivum","Ie_crop",2023-05-27,"Poaceae","Poales",50.898197,2.833149,"plants","Ad","","Jari Vandendendriessche",95,"10m² quadrat"
"Ie","crtl","Achillea millefolium","Ie_crtl",2023-05-27,"Asteraceae","Asterales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie","crtl","Anisantha sterilis","Ie_crtl",2023-05-27,"Poaceae","Poales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ie","crtl","Arrhenatherum elatius","Ie_crtl",2023-05-27,"Poaceae","Poales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",55,"10m² quadrat"
"Ie","crtl","Artemisia vulgaris","Ie_crtl",2023-05-27,"Asteraceae","Asterales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Dactylis glomerata","Ie_crtl",2023-05-27,"Poaceae","Poales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",15,"10m² quadrat"
"Ie","crtl","Equisetum arvense","Ie_crtl",2023-05-27,"Equisetaceae","Equisetales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Galium aparine","Ie_crtl",2023-05-27,"Rubiaceae","Gentianales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","crtl","Geranium molle","Ie_crtl",2023-05-27,"Geraniaceae","Geraniales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Lamium album","Ie_crtl",2023-05-27,"Lamiaceae","Lamiales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Ranunculus repens","Ie_crtl",2023-05-27,"Ranunculaceae","Ranunculales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Raphanus raphanistrum","Ie_crtl",2023-05-27,"Brassicaceae","Brassicales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","crtl","Rubus Sec. Rubus","Ie_crtl",2023-05-27,"Rosaceae","Rosales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie","crtl","Urtica dioica","Ie_crtl",2023-05-27,"Urticaceae","Rosales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie","crtl","Vicia sativa","Ie_crtl",2023-05-27,"Fabaceae","Fabales",50.898647,2.833769,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Anisantha sterilis","Ie_tree",2023-05-27,"Poaceae","Poales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ie","tree","Artemisia vulgaris","Ie_tree",2023-05-27,"Asteraceae","Asterales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
"Ie","tree","Crataegus monogyna","Ie_tree",2023-05-27,"Rosaceae","Rosales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Galium aparine","Ie_tree",2023-05-27,"Rubiaceae","Gentianales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",45,"10m² quadrat"
"Ie","tree","Geranium robertianum","Ie_tree",2023-05-27,"Geraniaceae","Geraniales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","tree","Glechoma hederacea","Ie_tree",2023-05-27,"Lamiaceae","Lamiales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Hedera helix","Ie_tree",2023-05-27,"Araliaceae","Apiales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","tree","Lamium album","Ie_tree",2023-05-27,"Lamiaceae","Lamiales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",3,"10m² quadrat"
"Ie","tree","Lapsana communis","Ie_tree",2023-05-27,"Asteraceae","Asterales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Mercurialis annua","Ie_tree",2023-05-27,"Euphorbiaceae","Malpighiales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",1,"10m² quadrat"
"Ie","tree","Poa trivialis","Ie_tree",2023-05-27,"Poaceae","Poales",50.897827,2.834499,"plants","Ad","","Jari Vandendendriessche",7,"10m² quadrat"
